




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (8259)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K9ac_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	2	194.90	-	.01	2.20E-68	3.48E-64
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	176.85	-	 < 0.01	1.16E-65	9.18E-62
detection of chemical stimulus (GO:0009593)	522	16	209.33	-	.08	4.75E-56	2.50E-52
sensory perception of chemical stimulus (GO:0007606)	543	21	217.75	-	.10	3.80E-54	1.50E-50
sensory perception of smell (GO:0007608)	468	12	187.68	-	.06	9.97E-53	3.15E-49
detection of stimulus involved in sensory perception (GO:0050906)	557	36	223.37	-	.16	1.74E-44	4.59E-41
regulation of cellular metabolic process (GO:0031323)	6138	3057	2461.46	+	1.24	4.25E-32	9.59E-29
detection of stimulus (GO:0051606)	721	97	289.14	-	.34	2.62E-31	5.19E-28
regulation of primary metabolic process (GO:0080090)	5925	2951	2376.04	+	1.24	1.59E-30	2.80E-27
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2861	2301.85	+	1.24	1.81E-29	2.86E-26
cellular metabolic process (GO:0044237)	7542	3612	3024.49	+	1.19	6.28E-29	9.02E-26
positive regulation of cellular process (GO:0048522)	5741	2848	2302.25	+	1.24	3.60E-28	4.74E-25
regulation of metabolic process (GO:0019222)	6874	3325	2756.61	+	1.21	4.35E-28	5.29E-25
G protein-coupled receptor signaling pathway (GO:0007186)	1305	270	523.33	-	.52	1.99E-27	2.25E-24
